Year,I_Total_Multilateral,Total Government Borrowing Multilateral,Total Concessional GB Multilateral,a) IDA Concessional GB Multilateral,b) Others Concessional GB Multilateral,Total Non - Concessional GB Multilateral,a) IBRD Non - Concessional GB Multilateral,b) Others Non - Concessional GB Multilateral,Total Non-Government Borrowing Multilateral,Concessional NGB Multilateral,Total Non - Concessional NGB Multilateral,a) Public sector Non - Concessional NGB Multilateral,a.1) IBRD Non - Concessional NGB Multilateral,a.2) Others Non - Concessional NGB Multilateral,b) Financial institutions Non - Concessional NGB Multilateral,b.1) IBRD Non - Concessional NGB Multilateral,b.2) Others Non - Concessional NGB Multilateral,c) Private sector Non - Concessional NGB Multilateral,c.1) IBRD Non - Concessional NGB Multilateral,c.2) Others Non - Concessional NGB Multilateral,II_Total_Bilateral,Total Government Borrowing Bilateral,Concessional GB Bilateral,Non - Concessional GB Bilateral,Total Non-Government Borrowing Bilateral,Total Concessinal NGB Bilateral,a) Public sector Concessional NGB Bilateral,b) Financial institutions concessional NGB Bilateral,c) Private sector concessional NGB Bilateral,Total  Non - Concessional NGB Bilateral,a) Public sector Non - Concessional NGB Bilateral,b) Financial institutions Non - Concessional NGB Bilateral,c) Private sector Non - Concessional NGB Bilateral,III_International_Monetary_Fund,IV_Total_Trade_Credit,a) Buyers credit TC,b) Suppliers credit TC,c) Export credit component of bilateral credit TC,d) Export credit for defence purposes TC,V_Total_Commercial_Borrowing,a) Commercial bank loans CB,b) Securitized borrowings(inclu. IDBs and FCCBs) CB,c) Loans/securitized multi/bilateral guarantee and IFC(W) CB,d) Self Liquidating Loans CB,VI_NRI_&_FC(B&O)_Deposits,VII_Total_Rupee_Debt,a) Defence RD,b) Civilian RD,VIII_Total_Long_Term_Debt,IX_Total_Short_term_Debt,a) NRI deposits (up to 1 year maturity) STD,c) Trade related Credits STD,c.1) 6 months and above up to 1 year STD,c.2) Upto 6 months STD,d) FII Investments in Govt T Bills and other instruments STD,e) Investment in Treasury Bills by Foreign central Banks and International Institutions etc. STD,f) External Debt Liabilities of STD,f.1 External Debt Liabilities of Central Bank STD,f.2 External Debt Liabilities of Commercial Bank STD,Gross_Total_Debt,Concessional_Debt_as_%_of_Total_Debt,Short_Term_Debt_As_%_of_Total_Debt,Debt_Stock_GDP_Ratio,Debt_Service_Ratio(%)
1991,40386,38429,25849,25221,628,12580,12161,419,1957,0,1957,303,303,0,1270,872,398,384,330,54,27378,23065,23065,0,4313,514,0,514,0,3799,2957,527,315,5132,8374,2230,933,1390,3821,19727,13200,5840,687,0,20030,25199,22875,2324,146226,16775,7018,9429,4453,4976,0,0,0,0,0,163001,45.9,10.2,28.7,35.3
1992,68262,63787,40990,40017,973,22797,21134,1663,4475,0,4475,1424,962,462,2345,1720,625,706,628,78,47603,40371,40371,0,7232,928,0,928,0,6304,4472,1236,596,8934,12418,3566,1380,2428,5044,35711,20933,13219,1512,47,27384,31956,28796,3160,232268,20642,6517,13201,8463,4738,0,0,0,0,0,252910,44.8,8.3,38.7,30.2
1993,77758,72286,48206,47167,1039,24080,21602,2478,5472,0,5472,1777,1300,477,2883,1791,1092,812,709,103,50258,42220,42220,0,8038,1243,0,1243,0,6795,4726,1571,498,14985,13484,3989,2050,3671,3774,36367,20156,13990,2105,116,34941,33149,30177,2972,260942,19804,8131,9240,3639,5601,0,0,0,0,0,280746,44.5,7,37.5,27.5
1994,82199,75617,50250,49238,1012,25367,22518,2849,6582,0,6582,2786,2158,628,2718,1667,1051,1078,953,125,54580,45387,45387,0,9193,1453,190,1263,0,7740,5475,1718,547,15812,16307,5474,4129,3947,2757,38782,18694,16557,2430,1101,39729,31634,28735,2899,279043,11375,4078,5625,5625,0,0,0,0,0,0,290418,44.4,3.9,33.8,25.4
1995,89819,82223,55963,54897,1066,26260,22442,3818,7596,0,7596,3248,2013,1235,2559,1605,954,1789,1610,179,63761,52965,52965,0,10796,1896,654,1242,0,8900,6120,1883,897,13545,20876,6227,6432,4604,3613,40915,18384,16935,2998,2598,39006,30315,27603,2712,298237,13448,7176,6272,6272,0,0,0,0,0,0,311685,45.3,4.3,30.8,25.9
1996,98173,89428,60425,59349,1076,29003,23721,5282,8745,0,8745,4628,2942,1686,2464,1643,821,1653,1244,409,65740,53119,52078,1041,12621,3088,376,2712,0,9533,5602,2197,1734,8152,18432,7216,5382,4529,1305,47642,23120,19790,3050,1682,37802,28150,25602,2548,304091,16637,9896,6741,6741,0,0,0,0,0,0,320728,44.7,5.4,27,26.2
1997,105066,94824,63418,62343,1075,31406,24354,7052,10242,0,10242,4738,3341,1397,2391,1618,773,3113,1639,1474,62891,49092,48165,927,13799,3409,1054,2355,0,10390,5216,2436,2738,4714,21044,11184,4791,4189,880,51454,29968,17320,3521,645,39527,26978,24590,2388,311674,24153,13547,10606,10606,0,0,0,0,0,0,335827,42.2,7.2,24.6,23
1998,116904,104218,70560,69392,1168,33658,25438,8220,12686,0,12686,8765,5217,3548,2171,1011,1160,1750,1321,429,67104,51420,50583,837,15684,1770,192,1578,0,13914,5360,4216,4338,2622,25783,15433,5453,4399,498,67086,39419,23786,3451,430,47050,23204,20976,2228,349753,19929,8657,11272,11272,0,0,0,0,0,0,369682,39.5,5.4,24.3,19.5
1999,129682,114531,78979,77725,1254,35552,25747,9805,15151,0,15151,10716,6349,4367,2723,1057,1666,1712,1312,400,74304,57106,56425,681,17198,2738,526,2212,0,14460,5197,4363,4900,1218,28812,18097,5532,4905,278,89019,43892,41464,3430,233,50048,20077,18004,2073,393160,18137,8852,9285,9285,0,0,0,0,0,0,411297,38.5,4.4,23.6,18.7
2000,137132,120321,84051,82721,1330,36270,25343,10927,16811,0,16811,12183,6931,5252,3099,999,2100,1529,1173,356,79278,60920,59380,1540,18358,4022,1488,2534,0,14336,4752,4151,5433,113,29564,18734,5582,5165,83,86963,44015,39564,3271,113,59120,19218,17290,1928,411388,17162,5983,11179,11179,0,0,0,0,0,0,428550,38.9,4,22,17.1
2001,145105,127886,89008,87753,1255,38878,26376,12502,17219,0,17219,12386,7114,5272,3368,1017,2351,1465,1148,317,74519,56802,55504,1298,17717,5579,2962,2617,0,12138,3715,3568,4855,0,27625,17336,5401,4828,60,113839,46169,64769,2901,0,77273,17345,15573,1772,455706,16919,4463,12456,12456,0,0,0,0,0,0,472625,35.4,3.6,22.1,16.6
2002,155633,138023,96177,94848,1329,41846,28012,13834,17610,0,17610,12729,7298,5431,3736,1049,2687,1145,929,216,74762,56302,55418,884,18460,6885,4278,2607,0,11575,4822,3708,3045,0,26110,16147,5144,4819,0,113908,48683,62714,2511,0,83712,14807,13198,1609,468932,13396,4724,8672,8672,0,0,0,0,0,0,482328,35.9,2.8,20.8,13.7
2003,142683,129727,102559,101122,1437,27168,19069,8099,12956,0,12956,9255,4378,4877,3177,525,2652,524,298,226,79921,60243,59688,555,19678,8013,5152,2861,0,11665,5116,3571,2978,0,23750,13421,5139,5190,0,106843,46929,57495,2419,0,110022,13405,11946,1459,476624,22180,9320,12860,12860,0,0,0,0,0,0,498804,36.8,4.5,20,16
2004,131105,120073,101490,100065,1425,18583,14074,4509,11032,0,11032,7916,4402,3514,2902,381,2521,214,0,214,77084,58121,57742,379,18963,8876,5759,3117,0,10087,4851,3119,2117,4381,20553,11061,4471,5021,0,95611,50346,41567,3698,0,135618,11856,10539,1317,476208,19251,1321,17930,17930,0,0,0,0,0,0,495459,35.8,3.9,17.7,16.1
2005,138897,127782,105114,103671,1443,22668,16500,6168,11115,0,11115,8000,4462,3538,2789,252,2537,326,0,326,74530,57458,57207,251,17072,7471,5653,1818,0,9601,4353,2847,2401,4503,21976,13040,3961,4975,0,115533,62896,48992,3645,0,143267,10071,8887,1184,508777,77528,0,71173,32922,38251,6355,0,0,0,0,586305,30.7,13.2,18.4,5.9
2006,145503,133800,105852,104457,1395,27948,19626,8322,11703,0,11703,8510,4594,3916,2628,630,1998,565,0,565,70302,54593,54468,125,15709,6949,5285,1664,0,8760,3628,2386,2746,4378,24175,16088,3351,4736,0,117991,73508,41112,3371,0,161834,9184,8112,1072,533367,87155,0,86531,38788,47743,624,0,0,0,0,620522,28.4,14,17.1,10.1
2007,154053,141746,108448,107019,1429,33298,21864,11434,12307,0,12307,9315,4550,4765,2414,655,1759,578,0,578,70034,53810,53810,0,16224,1727,1241,486,0,14497,7420,3828,3249,4484,31237,23617,2941,4679,0,180669,107145,68020,5504,0,179786,8508,7533,975,628771,122631,0,113256,52188,61068,1732,712,6931,2185,4746,751402,23,16.3,17.7,4.7
2008,157901,144627,107395,105947,1448,37232,22631,14601,13274,0,13274,10352,4690,5662,2350,593,1757,572,0,572,78802,59391,59391,0,19411,1737,1226,511,0,17674,10097,3735,3842,4479,41296,33134,2998,5164,0,249243,160577,82641,6025,0,174623,8065,7172,893,714409,182881,0,167540,91502,76038,2603,620,12118,4458,7660,897290,19.7,20.4,18.3,4.8
2009,201425,181997,127771,126127,1644,54226,29948,24278,19428,0,19428,14298,7105,7193,3721,744,2977,1409,0,1409,104997,74662,74662,0,30335,3262,1156,2106,0,27073,15076,4311,7686,5188,73772,64046,3234,6492,0,318209,219925,91286,6998,0,210118,7760,6935,825,921469,220656,0,203345,118936,84409,10522,534,6255,3892,2363,1142125,18.7,19.3,20.7,4.4
2010,193436,170722,116046,114552,1494,54676,28874,25802,22714,0,22714,14919,8544,6375,5385,1343,4042,2410,0,2410,101976,71584,71584,0,30392,3169,1121,2048,0,27223,13845,3436,9942,27264,76011,66849,2937,6225,0,319221,202350,113177,3694,0,217062,7480,6709,771,942450,236188,0,214267,126391,87876,15153,467,6301,3139,3162,1178638,16.8,20.1,18.5,5.8
2011,216672,190326,120653,119068,1585,69673,39218,30455,26346,0,26346,15802,9193,6609,7511,1899,5612,3033,0,3033,114905,80406,80406,0,34499,4101,1621,2480,0,30398,13789,3754,12855,28163,83112,73273,2847,6992,0,448448,261678,183504,3266,0,230812,7147,6416,731,1129258,290149,0,261006,157806,103200,24214,225,4704,693,4011,1419407,14.9,20.4,18.6,4.4
2012,257088,222579,138691,136816,1875,83888,45328,38560,34509,0,34509,19407,11092,8315,10290,2707,7583,4812,0,4812,137086,91641,91641,0,45445,7648,4963,2685,0,37797,14200,3886,19711,31528,97117,85896,3252,7969,0,614623,373194,238849,2580,0,299840,6922,6220,702,1444205,399962,0,333202,200454,132748,48066,326,18368,871,17497,1844167,13.3,21.7,21.1,6
2013,279310,235670,143130,141119,2011,92540,48239,44301,43640,0,43640,23414,12749,10664,14370,2973,11397,5856,0,5856,136329,88007,88007,0,48322,8435,5916,2519,0,39887,13010,4206,22671,32439,96556,84667,4236,7653,0,762128,454450,306070,1608,0,385202,6839,6164,675,1698803,525931,0,472026,321010,151016,29671,447,23787,985,22802,2224734,11.1,23.6,22.4,5.9
2014,321560,268491,163589,161165,2424,104902,53433,51469,53069,0,53069,28105,14412,13693,18881,3820,15061,6083,0,6083,148813,96918,96918,0,51895,10318,7763,2555,0,41577,13374,4361,23842,36910,93275,80069,4779,8427,0,897744,582644,313416,1684,0,624101,8826,8179,647,2131229,550985,0,491271,330500,160771,33686,572,25456,892,24564,2682214,10.4,20.5,23.9,5.9
2015,328148,269431,154581,152171,2410,114850,57107,57743,58717,0,58717,31385,15674,15711,21859,3709,18150,5473,0,5473,136060,88452,88452,0,47608,10080,7546,2534,0,37528,11561,3323,22644,34350,78915,66006,5217,7692,0,1128501,635246,490895,2360,0,720997,9426,8807,619,2436397,535144,0,510938,334267,176671,7307,714,16186,939,15247,2971542,8.8,18,23.8,7.6
2016,359490,294122,166506,163772,2734,127616,61553,66063,65368,0,65368,35409,17005,18404,25190,5984,19206,4769,0,4769,149378,102925,102925,0,46453,11892,9052,2840,0,34560,10938,3029,20594,37177,70001,54963,6088,8950,0,1197176,647311,547465,2400,0,841956,8479,7887,592,2663657,553906,0,530806,339674,191132,132,1576,21392,1197,20195,3217563,9,17.2,23.4,8.8
2017,354118,288246,156726,154050,2676,131519,60667,70852,65872,0,65872,32123,16625,15498,29829,7276,22553,3920,0,3920,150808,109742,109742,0,41066,11988,6758,5230,0,29077,9478,3169,16430,35129,62426,46790,6094,9543,0,1115514,567286,545906,2323,0,757751,7962,7398,564,2483708,571387,0,560781,364104,196677,260,1577,8768,1575,7194,3055095,9.4,18.7,19.8,8.3
2018,371781,304595,164002,160970,3032,140593,61663,78930,67186,0,67186,33715,16935,16780,30245,7418,22826,3226,0,3226,164788,128945,128945,0,35843,12973,7600,5373,0,22871,8519,2530,11822,37716,61676,43699,6764,11213,0,1312723,550788,759701,2234,0,820737,7886,7350,536,2777308,664575,0,652969,431225,221744,580,1791,9234,1782,7453,3441883,9.13,19.304,20.13,7.537
2019,396131,320336,160421,157188,3233,159915,67248,92667,75795,0,75795,39028,18652,20375,35155,8449,26706,1612,0,1612,176660,141410,141410,0,35250,17389,12182,5207,0,17861,7048,2296,8516,38202,54899,35692,6910,12297,0,1428897,659541,767283,2074,0,902152,8007,7498,509,3004948,749924,0,708379,362982,345397,12003,1820,27721,1529,26193,3754872,8.74,19.962,19.792,6.359
2020,449066,362028,166300,162506,3794,195728,82787,112940,87038,0,87038,41042,21544,19498,44376,8609,35767,1620,0,1620,203440,167349,167349,0,36091,19808,14615,5193,0,16283,5087,2770,8426,40931,54119,32419,7148,14552,0,1660215,830002,828093,2120,0,977309,7704,7223,481,3392784,805708,0,764291,389010,375281,12990,1822,26605,1357,25248,4198492,8.635,19.135,20.642,6.509
